"صـ","سـ","المطلع","اسم الشاعر","سبب التصنيف","عدد الاَبيات","البحر","الروي","images"
"189","13","اَلا قُل لقَومٍ شارِبِي كأسَ عَلْقَم * بِقَتْل اِمامٍ في المدينة مُحرِمٖ","مروان بن الحكم","في اِظهار الحسرة على قتل عثمان","7","الطويل","م",
"190","3","قَتَلْنا ابنَ اَرْوٰى بالكِتَابِ ولم نَكُنْ * لِنَقْتُلَهٗ اَلَّا باَمْرٍ مُحَكَّمٖ","المكشوح المرادي","في الجواب لشعر مروان تبريرًا لقتل عثمان","10","الطويل","م ",
"191","12","اَلَا يا لهفَ نَفسِيْ اَيْنَ عمرٗو * نجا عمٌرو وعُثمانُ قتيلٗ","الوليد بن عقبة بن اَبي معيط","في عتاب عمرو بن العاص عند هَرَبه اِلى فلسطين ","17","الوافر","ل",
"196","9","اَبا حَسَنٍ متٰى ما تَدْعُ فينا * تُجِبْك سيوفُنا مِن اِرْثِ شِمْرٖ","حبيب بن اُساف الاَنصاري","في احتجاج اَمير المؤمنين <sup>ع</sup><sup> </sup><sup>م</sup><sup> </sup>للمعرضين عن اِمامته بعد وضوح الحق","10","الوافر","ر",
"197","17","ما ضَرَّ مَن كانت الانصارُ نصرَتَه * اَن لا يكونَ له مِن غيرِهم اَحَدٗ","قيس بن سعيد","في نصرة الاَنصار لاَمير المؤمنين <sup>ع</sup><sup> </sup><sup>م</sup><sup> </sup>","14","البسيط ","د ",
"199","6","اُبايِعُ غيرَ مكتَتِمٍ عَلِيًا * وَاِنْ لَمْ يُرْضِ ذاك الاَشْعَرِيَّا","هاشم بن عتبة الاَنصاري","في تحضيض الناس على بيعة اَمير المؤمنين <sup>ع</sup><sup> </sup><sup>م</sup><sup> </sup>","7","الوافر","ي",
"199","14","اِنَّ ابْنَ عفَّانَ اِذْ اَوْدٰى لِشِقْوتِه * طغٰى فحَلَّتْ بِه مِنْ ذٰلِكُمْ غِيَرٗ","هاشم بن عتبة الاَنصاري","في تحضيض الناس على بيعة اَمير المؤمنين <sup>ع</sup><sup> </sup><sup>م</sup><sup> </sup>","8","البسيط","ر",
"201","2","نَصَحْتُ عَلِيًّا في ابنِ هِندٍ نصيحةً * فَرَدَّ فَما مِنِّي له الدهرَ ثَانِيَة","المغيرة بن شعبة","في رفض اَمير المؤمنين <sup>ع</sup><sup> </sup><sup>م</sup><sup> </sup>نصيحته ","6","الطويل","ي",
"202","1","لَعَمُرك والاَيَّامُ غُدْرُ عَوَاثِرٖ * لَقَدْ كَادَنَا عَمَّا اَرَادَ ابنُ عَامِرٖ","الاَعور الشني","في هرب عبد الله بن عامر من البصرة وتركه عبد الله بن الحضرمي مكانه وتشاور القوم في قتله","9","الطويل","ر",
"217","16","نَدِمْتُ ندامةَ الكُسَعِيِّ لَمَّا * رَأتْ عَيناه ما صنعت يَدَاه","الشاعر (طلحة بن عبيد الله)","في التمثيل لندم طلحة على محاربة اَمير المؤمنين <sup>ع</sup><sup> </sup><sup>م</sup><sup> </sup>بعد بيعته له","1","الوافر ","ا",
"221","12","اَلَا قُل لِعَبدِ اللهِ لَيْتَك باليَمَنْ * بِبَرْهُوْتَ اَو صنعاءَ اَو غَورِ ذِي عَدَنْ","ابن كهاش الاَوسي","في ترك عبد الله بن عمر الخروج مع طلحة والزبير","12","الطويل","ن",
"222","17","جَزَتْك اميرَ المؤمنين قرابةٌ * رفَعتَ بها ذكري جزاءً مُوفَّرا","عمر بن اُم سلمة","في توليته البلدان من قبل اَمير المؤمنين <sup>ع</sup><sup> </sup><sup>م</sup><sup> </sup>","6","الطويل","ر",
"223","11","اُمَّ يا اُمَّ تَلَقَّيْتَ الظَّفَرْ * ثم لا زِلتِ تُسَقَّيْنَ المَطَرْ","رجل من ولد عمرو بن الاَكان","في مدح مولاتنا اُم سلمةَ <sup>رض</sup>","11","الرمل","ر",
"227","17","خَرجتِ ولمَ يُخْرِجْك واللهُ غالبٌ * على اَمره- الا اُمورٌ مُذَبْذَبَة","ابن كهاش الانَصاري","في خروج عائشة من مكة","11","الطويل","ب",
"230","2","اَ يَذبحُنا الزُّبيرُ بِشَفرَتَيهِ * ونَنْسٰى ما مضٰى منه وَفاتا","سعيد بن العاص","في اختلاف طلحة والزبير في اَمر من يجعل له الاَمر لو ظهرا على اَمير المؤمنين <sup>ع</sup><sup> </sup><sup>م</sup>","7","الوافر","ت",
"230","12","اَظُنُّ الحَربَ ساحِبةً عليهم * ذيولَ القومِ عادٍ اَو ثمودٖ","المغيرة بن شعبة","في اختلاف طلحة والزبير في اَمر من يجعل له الاَمر لو ظهرا على اَمير المؤمنين <sup>ع</sup><sup> </sup><sup>م</sup>","12","الوافر","د",
"232","2","اَلا اَيها الناسُ عندي الخبَر * باَنَّ الزُّبيرَ اَخاكم غَدَرْ","ظفر","في اِخبار الناس بمسيرة اَهل الجمل","9","المتقارب","ر",
"232","14","فما لِلَّذي قد اَوردَا ثم اَصدَرا * غَداةَ المنايا من نجاةٍ ولا عُذرٖ","محمد بن اَبي بكر","في طلب طلحة والزبير بدم عثمان حسب زعمهما","1","الطويل","ر",
"237","3","دَراكِها دَراكِها قبل الفَوتْ * انفِر بنا واسمُ بنا نحو الصَّوتْ<br>لا وَألَتْ نفسيَ اِن خِفتُ المَوتْ","الحجاج بن عرابة","في نصرة اَمير المؤمنين <sup>ع</sup><sup> </sup><sup>م</sup><sup> </sup>بعد سماع خطبته الشريفة","3","الرجز","ت",
"238","4","قضَتْ طِيِّءٌ عني الذِّمَامَ واَنطَقُوا * لِسانيَ بالامرِ الُمقَرَّبِ بِالكَرَمْ","عدي بن حاتم","في جواب معقل بن حداج ومخنف بن زيد الخيل وسائر طيء له عند تحريضه بالمسير اِلى اَمير المؤمنين <sup>ع</sup><sup> </sup><sup>م</sup><sup> </sup>","7","الطويل","م",
"239","1","اِن يكُن ما يُقال فيك مِن الخيـ * ـر هُو الحقُّ يا وصيَّ الرسولٖ","شيخ يقال له الاَكتل","في نصرة اَمير المؤمنين <sup> </sup><sup>ع</sup><sup> </sup><sup>م</sup><sup> </sup>واستنهاض طيء للحرب معه","5","الخفيف","ل",
"239","16","بني اَسَدٍ مَن يأمَن الحربَ يُؤْكَلٖ * ومَن لا يمُتْ يومًا مِن الدهر يُقتَلٖ","زفر بن حذيفة الاَسدي","في استنهاض بني اَسد للحرب مع اَمير المؤمنين <sup> </sup><sup>ع</sup><sup> </sup><sup>م</sup>","10","الطويل","ل",
"243","2","قُل للزُّبَيرِ وقُل لِطلحةَ قَصِّروا * دونَ الذي تَنْوُونَ موتٌ اَحمرٗ","البراء بن عازب","في عتاب اَهل الجمل بمسيرهم خلاف اَمير المؤمنين <sup>ع</sup><sup> </sup><sup>م</sup><sup> </sup>بعد بذلهم البيعة له","11","الكامل","ر",
"244","1","يا ابنَ حُنَيفٍ قد اُتِيتَ فانْفِرٖ * وطاعِن القومَ وضارِب واصْبِرٖ<br>وَالْقَهُما مستَلْئِمًا وشَمِّرٖ","اَبو الاَسود","في لحوقه وعمران بن حصين بعثمان بن حنيف من عند اَهل الجمل","3","الرجز","ر",
"244","4","لَقِينا الزُّبَيرَ فَدَانا الامورَ * وطلحة كالنَّجم او اَبعَدٗ","اَبو الاَسود","في لحوقه واَبي الاَسود بعثمان بن حنيف من عند اَهل الجمل","9","المتقارب","د",
"247","12","خَيْلِي اِليَّ اِنَّها قُرَيشٗ * لِيُرْدِيَنْها بَغْيُها والطَّيْشٗ","حكيم بن جبل","في حملته على اَصحاب طلحة والزبير عند اَفواه السكك ","1","الرجز","ش",
"248","11","صُنْتُم حَلَائِلكُم وخُنْتُم اُمَّكم * هذا لَعَمْرُكَ قِلَّةُ الاِنصافٖ","جارية بن قدامة السعدي","في عتابه لطلحة والزبير باِخراج عائشة اِلى الحرب وترك نسائهما في بيتهما","4","الكامل","ف",
"249","9","اِذا اَنا تَابَعتُ الزَّبَيرَ وصحبَه * وطلحةَ والمَهتوكَ عنها حِجابُها","يزيد بن الحارث اليشكري","في منع مبايعته لطلحة والزبير وعتابه لهما","10","الطويل","ب",
"251","11","ما للزُّبَيرِ تُقًى فيك الغَداةَ ولا * لِلمَرءِ طلحةَ فَاخْشَ القومَ عُثمانٗ","الاَصم","في تحريض حكيم بن جبل لعثمان بن حنيف على الحملة وعدم عقد الصلح مع طلحة والزبير","7","البسيط ","ن",
"253","1","يابنَ حُنيفٍ اَين منك الباطلٗ * اِني لاَقتالِ الامام قاتلٗ","مروان بن الحكم","في الحملة على عثمان بن حنيف غدرًا ومكرًا ","2","الرجز","ل",
"253","5","مروانُ يا ابنَ الحَكَمِ الطَّريدٖ * مروانُ يا ابنَ اٰكلِ الهَبيدٖ ","عثمان بن حنيف","في الحملة على مروان بن الحكم","3","الرجز","د",
"254","3","مروانُ ويحكَ اِنَّ الدَّهْرَ دَوَّارٗ * والدهر في صَرفه نَقضٌ واِمرارٗ","سهل بن حنيف","في ما صُنع باَخيه منذرًا اَهلَ الجمل بقتل من لهم في المدينة من الاُسرة والاَقارب","13","البسيط","ر",
"255","14","اَضْرِبُهم باليَابِسٖ * ضَرْبَ غُلامٍ عابِسٖ","حكيم بن جبل","في قِتاله اَصحابَ الجمل عند الزابوقة","2","مجزوء الرجز","س",
"256","2","يا نفسِ لا تُرَاعِيْ * اِن قُطِعَتْ كُرَاعِيْ<br>اِنَّ مَعِي ذِرَاعِيْ","حكيم بن جبل","في قطع رجله ورميه بها الاَزدي وصرعه به","3","مجزوء الرجز","ع",
